id,species,caste,ID_number,date_of_collection,investigator,collection_site,Region,Latitude,Longitude,Forage_Plant,Temperature ,Wind,r.H.,H.I.,Time_of_Day,date_of_dissection,date_of_DNA_extraction,Concentration,Purity,QPCR_Concentration,QPCR_Purity,DNA_Storage,QPCR_Order,Year,CBombiConc,site_collapsed,site_collapsed_10k,Positive,clade,days_Since_May1,faithpd,PC1,PC2,Gammaproteobacteria,Alphaproteobacteria,Firmicutes,Bifidobacterium,Bombiscardovia,Apibacter,Lactobacillus,Snodgrassella,Schmidhempelia,Gilliamella,core,Proteobacteria,site_trip,Month,site_year,date_no_year,batch_conc
110,bim,W,TWM180615-009,6/15/18,TM,Eustis ,Franklin,45.3508,-70.6851,Lupine,83.0,0.0,,,15:36,6/19/18,11/6/18,20.6,2.17,48.1,2.02,2018_2,160.0,2018,4.249828586889748,Natanis_Pond,Natanis_Pond,0.0,short,45,1.2921838753727353,-0.0006835339130411,-0.1363076708223434,0.6970845792396412,0.302648440837249,0.0,0.0,0.0,0.0,0.0,0.0001601879538658,0.6146945749679624,0.0,0.6148547629218283,0.9997330200768902,Natanis_Pond6/15/18,June,Natanis_Pond2018,6/15/23,7333417.53867123
113,bim,M,TWM180711-013,7/11/18,TM,Beddington,Washington,44.8502,-68.0607,,75.0,0.0,,,14:27,7/25/18,10/19/18,22.5,2.18,43.7,1.67,2018_2,98.0,2018,60.64419401528041,Beddington,Beddington_ME,1.0,short,71,2.931100322383446,-0.0629669058688444,-0.0006942470541318,0.9946547665751276,0.0,0.0,0.0,0.0017163593566104,0.003138485680659,0.0,0.6602589250686544,0.0007355825814044,0.3325814044723421,0.9984307571596704,0.9946547665751276,Beddington7/11/18,July,Beddington2018,7/11/23,3471.284607746042
114,bor,W,TWM180724-027,7/24/18,TM,Allen Island,Allen Island,43.8755,-69.3113,,,,,,,8/6/18,10/20/18,47.6,1.95,47.6,1.95,2018_2,111.0,2018,6855.06645028285,Allen_Island,Allen_Island,1.0,long,84,1.5667376737588747,-0.0580758007602831,-0.0251345917070808,0.8498811581676751,0.0563958513396715,0.0605823249783923,0.0200950734658599,0.0027279602420051,0.0,0.0605823249783923,0.4236981417458945,0.0003781331028522,0.1952517286084701,0.7027333621434746,0.9062770095073468,Allen_Island7/24/18,July,Allen_Island2018,7/24/23,2263638.187685224
116,imp,W,TWM180731-004,7/31/18,TM,Eustis Parking Lot; Colby College,Kennebec,44.563,-69.661,,83.0,2.0,,,13:26,8/6/18,10/23/18,20.7,2.08,46.8,1.97,2018_2,137.0,2018,9.031758215214015,Colby_College,Colby_College,0.0,short,91,2.113548633785052,-0.0800633743953941,-0.0264902633129721,0.7504444308220438,0.0714920615460062,0.061208851835959,0.0066971127321767,0.0,0.1099583154539324,0.0587721449150983,0.0384815791086863,0.0230491019432354,0.6796879789125237,0.9166462330656532,0.8219364923680501,Colby_College7/31/18,July,Colby_College2018,7/31/23,395004.10894818616
117,bor,W,DRA180720-009,7/20/18,TM,Monhegan Island,Monhegan Island,43.764,-69.314,,,,,,,7/31/18,10/30/18,45.5,2.01,45.5,2.01,2018_2,149.0,2018,108.07923308892006,Monhegan_Island,Monhegan_Island,1.0,long,80,3.639820810739175,-0.0701906453360053,-0.0028727344086626,0.9425274064480318,0.0077246866182524,0.0098987002174013,0.0058975900827975,0.0,0.0258337573430778,0.0093898885239835,0.5214626023405338,0.0002081502382163,0.2906471159628105,0.8534391044914196,0.9502520930662842,Monhegan_Island7/20/18,July,Monhegan_Island2018,7/20/23,2192702.471383136
118,bim,W,TWM180711-003,7/11/18,TM,Baileyville Big Stop,Washington,45.1235,-67.3506,,70.0,1.5,,,12:37,7/25/18,11/6/18,46.4,1.96,46.4,1.96,2018_2,161.0,2018,0.5344553616484962,Baring_ME,Baring_ME,0.0,short,71,1.928615918708918,-0.0771746910205911,-0.0057027791399214,0.9402286216750936,0.0141349747197186,0.0055176961969663,0.0037590679270169,0.0010551769619696,0.0302044405363816,0.0052319191030995,0.434051439876896,0.0,0.3942185095625412,0.8685205539679051,0.954363596394812,Baring_ME7/11/18,July,Baring_ME2018,7/11/23,2842463.467347661
12,bor,W,TWM180814-002,8/14/18,TM,Allen Island; Trail,Allen Island,43.8755,-69.3113,Thistle,,,,,10:00,8/16/18,9/25/18,41.5,1.94,41.5,1.94,2018_1,44.0,2018,42837.59322053448,Allen_Island,Allen_Island,1.0,long,105,5.370797032635435,0.1946384013335996,0.1460283479025622,0.7769225566452486,0.0503347987825498,0.1536016232668244,0.0053161988501859,0.0008522150828542,0.0,0.1366249577274264,0.0028812986134595,0.0002705444707473,0.0004869800473452,0.1464321947920189,0.8272573554277984,Allen_Island8/14/18,August,Allen_Island2018,8/14/23,8038019.033760437
121,terri,M,TWM180711-009,7/11/18,TM,Little Pembroke Brook,Washington,44.911,-67.8002,,75.0,0.0,,,13:52,7/25/18,10/19/18,11.7,2.02,25.4,1.4,2018_2,100.0,2018,2.427999989215757,Little Pembroke Brook,Pickerel_Lake,0.0,short,71,1.4051411492941632,-0.1206864877657271,0.002873220640775,0.9390371078473972,0.0,0.0106022421134961,0.0496002433301468,0.0,0.0,0.0106022421134961,0.0763231076735899,0.3501781524289563,0.5120361519075346,0.9987398974537238,0.9390371078473972,Little Pembroke Brook7/11/18,July,Little Pembroke Brook2018,7/11/23,3471.284607746042
122,bim,M,DRA180720-007,7/20/18,TM,Monhegan Island,Monhegan Island,43.764,-69.314,,,,,,,7/31/18,10/20/18,59.7,1.92,59.7,1.92,2018_2,112.0,2018,463.8286895882565,Monhegan_Island,Monhegan_Island,1.0,short,80,,0.169887336883189,-0.2534745830713587,0.1641876430205949,0.727974828375286,0.0,0.0080091533180778,0.0760869565217391,0.0074370709382151,0.0,0.0735125858123569,0.0,0.04662471395881,0.2116704805491991,0.892162471395881,Monhegan_Island7/20/18,July,Monhegan_Island2018,7/20/23,2263638.187685224
123,vag,W,DRA180720-004,7/20/18,TM,Monhegan Island,Monhegan Island,43.764,-69.314,,,,,,,7/31/18,10/23/18,20.2,1.96,49.9,1.94,2018_2,126.0,2018,50409.65442686631,Monhegan_Island,Monhegan_Island,1.0,short,80,1.6934447835449236,0.2249311274779251,0.0586424356391726,0.8772890985643991,0.122507989651499,0.0001268198650636,0.0,0.0,0.0,0.0,0.0004311875412164,0.0005072794602546,0.0004819154872419,0.001420382488713,0.999797088215898,Monhegan_Island7/20/18,July,Monhegan_Island2018,7/20/23,27495115.584422342
124,bor,M,TWM180724-017,7/24/18,TM,Allen Island,Allen Island,43.8755,-69.3113,,,,,,,7/30/18,10/23/18,33.4,1.71,33.4,1.71,2018_2,138.0,2018,1463.5263219660426,Allen_Island,Allen_Island,1.0,long,84,3.4740685346795184,-0.1074960526773565,0.0010175173213814,0.9692595285076332,0.0010644926783674,0.0002855955966351,0.0288191920240938,0.0,0.0,0.0,0.2149496313220479,0.1456537542839339,0.6054107383944335,0.9948333160245092,0.9703240211860006,Allen_Island7/24/18,July,Allen_Island2018,7/24/23,395004.10894818616
125,tern,W,TWM180719-007,7/19/18,TM,Manset Union Church,MDI,44.2662,-68.3096,,75.0,0.0,,,15:05,8/6/18,10/30/18,27.5,1.98,27.5,1.98,2018_2,150.0,2018,731.3639180438793,MDI_Southwest_Harbor,MDI_Southwest_Harbor,1.0,short,79,2.1415359719554576,0.0389137847493877,-0.1007038913289186,0.6440129449838188,0.2543689320388349,0.0,0.0,0.0,0.0972491909385113,0.0,0.0004854368932038,0.3677454153182308,0.0722222222222222,0.5377022653721683,0.8983818770226537,MDI_Southwest_Harbor7/19/18,July,MDI_Southwest_Harbor2018,7/19/23,2192702.471383136
126,bim,M,MY180711-002,7/11/18,TM,Love Lake Road,Washington,45.0037,-67.5528,,70.0,,,,13:14,7/25/18,11/6/18,39.2,1.91,39.2,1.91,2018_2,162.0,2018,8.953575625198647,Love Lake Road,Crawford_ME,0.0,short,71,3.73143213192232,0.2607755578855575,-0.0227774451472282,0.5634783808013241,0.3448038066340252,0.0889593821115785,0.0,0.0,0.0,0.0,0.0012412937038824,0.0008964898972484,0.0014481759878629,0.0035859595889938,0.9082821874353492,Love Lake Road7/11/18,July,Love Lake Road2018,7/11/23,2842463.467347661
129,bor,Q,DRA180619-003,6/19/18,TM,,,,,,,,,,,6/20/18,10/19/18,189.3,2.14,189.3,2.14,2018_2,101.0,2018,0.3034126470944704,No_Site,No_Site,0.0,long,49,3.252085977342874,-0.0414155674820712,0.0034455431368998,0.89593147751606,0.0,0.0047109207708779,0.0027123483226266,0.0,0.0935046395431834,0.0047109207708779,0.7590292648108494,0.0,0.1363311920057102,0.9962883654532476,0.89593147751606,No_Site6/19/18,June,No_Site2018,6/19/23,605834.3418228657
132,bim,W,TWM180724-010,7/24/18,TM,Allen Island,Allen Island,43.8755,-69.3113,,,,,,,7/25/18,10/23/18,31.1,1.86,31.1,1.86,2018_2,139.0,2018,6091.961792413055,Allen_Island,Allen_Island,1.0,short,84,3.0903475767207387,-0.0988166267392646,0.0074221196754016,0.989554578604778,0.0103261425212146,0.0,0.0,0.0,0.0,0.0,0.000408956139454,0.9439559690556522,0.0004771154960297,0.944842040691136,0.9998807211259926,Allen_Island7/24/18,July,Allen_Island2018,7/24/23,395004.10894818616
133,tern,W,MY180719-002,7/19/18,TM,Schooner Head Rd,MDI,44.3459,-68.1789,,73.0,1.5,,,12:49,7/25/18,10/30/18,11.1,1.97,26.0,2.1,2018_2,151.0,2018,2777.797438509808,MDI_Acadia,MDI_Bar_Harbor,1.0,short,79,4.314138495268791,-0.0756162886568277,-0.0465475217168286,0.8853985734875642,0.1003363021545511,9.239070179977089e-05,0.0085923352673786,0.0053217044236668,0.0,0.0,0.1148416423371151,0.1694075908200598,0.5857200931298274,0.883883365978048,0.9857348756421154,MDI_Acadia7/19/18,July,MDI_Acadia2018,7/19/23,2192702.471383136
138,vag,W,TWM180802-002,8/2/18,TM,Swans Island; Roadside,Swans Island,44.1722,-68.4233,Thistle,70.0,,,,11:56,8/6/18,10/20/18,26.1,2.0,26.1,2.0,2018_2,115.0,2018,3352.2394487003185,Swans_Island_ME,Swans_Island_ME,1.0,short,93,5.148724747300153,0.2306185527288767,-0.273039012076492,0.0558242417425861,0.9309039103212988,0.0019120458891013,0.0002624376710531,0.0,0.0,0.0010122595883477,0.0028118321898549,0.0,0.0013121883552656,0.0053987178045214,0.9867281520638848,Swans_Island_ME8/2/18,August,Swans_Island_ME2018,8/2/23,290018.05182523833
140,terri,W,MY180703-004,7/3/18,TM,Jackman,Somerset,45.6111,-70.2116,,80.0,5.0,,,13:30,7/6/18,10/30/18,42.5,1.93,42.5,1.93,2018_2,140.0,2018,2.6421086081565024,Jackman_ME,Jackman_ME,0.0,short,63,2.7233797441164374,-0.0586226427087453,-0.0358728671845725,0.9247193230830012,0.074720969281928,9.877193560069798e-05,0.0,0.0,0.0,9.877193560069798e-05,0.3787245250716096,0.0001646198926678,0.5190629835709347,0.8980509004708129,0.9994402923649294,Jackman_ME7/3/18,July,Jackman_ME2018,7/3/23,395004.10894818616
141,bim,W,TWM180719-003,7/19/18,TM,Brown Family Farm,MDI,44.3288,-68.2073,,75.0,1.5,,,13:23,7/25/18,10/30/18,40.7,1.95,40.7,1.95,2018_2,152.0,2018,15071.928392949152,MDI_Acadia,MDI_Bar_Harbor,1.0,short,79,1.4880361417568817,-0.0701916536351829,-0.0109903967108942,0.9626279569218228,0.0249251461804956,0.0045931244219403,0.0,0.0078224200906083,0.0,0.0,0.5123293254534339,0.0,0.4485272217083915,0.9686789672524336,0.9875531031023184,MDI_Acadia7/19/18,July,MDI_Acadia2018,7/19/23,2192702.471383136
