Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
079a0a134cf219e8ff8fb05b5e810522	Bacteria						
079e149b8216b7444445b6739e4bb338	Bacteria	Patescibacteria	ABY1	UBA9629	UBA9629	UBA9629	
07b3bdedd7406c12348d2e923e476684	Bacteria						
07d09052be268f525b4ed5592da620c4	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae		
07d53bd19a4378477b4920bd02ab0ab5	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus tropaeoli
07db493b8fd890e0b00a61962bd4d1d4	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
07e207b395bc7eb6aaba11234ec049b2	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Woeseiaceae		
07eb0cf0a565c6207c447c0728c9e3b8	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	
08021847afee4b3b9dad2d7eb6c2606d	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae		
0807591bf4f55e9ed5151f00f97a5150	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
08286e0f7f892e5fa3b8131616465be7	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Phaseolibacter	Phaseolibacter_sbxid5481
0852572f710321c8cc80690a075fdc0b	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae		
0866f274f45becb6531c8c908b76ce61	Bacteria						
086d9b5c87487dc655e7633f8e0ea828	Bacteria						
0886918bb262e70ee3876a8003462c14	Bacteria	Acidobacteriota	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	
088845fa0587679d72efab643d9d7a59	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lichenibacteriaceae	Lichenibacterium	
0891a34cb58975f919d9872713b8d7b9	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Schmidhempelia	Schmidhempelia_sbxid5648
08976ed9dbb723a8b40cbdb234cac544	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_sciuri
089e6393d5f3694937b1c0464f39122f	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
08a47aecd171be885c5de6173a37d054	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
08a7ce9499ccbed5202cb4121b0298ed	Bacteria						
08b5a1d07c35cdbcb25177afb258557f	Bacteria						
08bb6389255945886b20e36acbab566f	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_crispatus
08d2ac86f842f6a2a023be019d78a270	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast_Chloroplast
08d73453665953a448f9ac6f31c37356	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast_Chloroplast
08e0bba946bf452a7f93841fc07be268	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	Crocinitomix_algicola
08ee291fd0c6ce2bc8c2a359e1a1447e	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Woeseiaceae	SP4260	
08ff8007d1cf99ce4d6857674c1b7a58	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
091b738597b02e3998868c39d0788a2c	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	
093ddac3f53fd36664e061873c3955db	Bacteria						
0958d6058370581dee1961e64b50f746	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast_Chloroplast
0999263257b9e92b32373bf3d115a6dc	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae		
09ac3255e5d90a98c02502e660aab187	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36		
09cf01535f9133224425e23359c5a38c	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	
09eff1c87a4216ccdb95b0a887023d12	Bacteria						
09f1d6daa64ff6bf63227aeff0a9433a	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Woeseiaceae	Woeseia	Woeseia_oceani
