	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0042	imp	W	42	7/3/17	FJ	Freedom Falls	Waldo	44.5282	-69.2974							1/8/17	8/3/17	56.0		56.0		2017_1	42.0	2017	0.0	Freedom Falls	Freedom Falls	0.0	63	2.217052474211934	-0.11506846290218084	-0.1070895613468497	Freedom Falls7/3/17	0.839035342766686	0.0	0.049508948762680104	0.0014214641080312722	0.004538993344963494	0.03876720294630742	0.06642114104800673	0.04937972475285908	0.4221909930865155	0.4168443496801706	0.999563868966854	0.8885442915293661	7/3/23	July	Freedom Falls2017	13
B0043	tern	W	43	7/3/17	FJ	Freedom Falls	Waldo	44.5282	-69.2974							1/8/17	8/3/17	29.0		29.0		2017_1	43.0	2017	0.0	Freedom Falls	Freedom Falls	0.0	63	2.270713205520257	-0.125663924547378	-0.09618480346848719	Freedom Falls7/3/17	0.9930768592985656	0.00012436779703175525	0.0032335627228256363	0.0	0.0	0.0013265898350053892	0.0009120305115662052	0.0014095016996932262	0.014343752590995771	0.9781941795870989	0.9961860542243595	0.9964347898184229	7/3/23	July	Freedom Falls2017	13
B0044	imp	W	44	7/3/17	FJ	1010 N Palermo Rd; Palermo; ME	Kennebec	44.4291	-69.4334							1/8/17	8/3/17	54.0		54.0		2017_1	44.0	2017	0.0	Palermo_ME	Palermo_ME	0.0	63	1.343540514756581	-0.029752159286239758	0.12317328319531495	1010 N Palermo Rd; Palermo; ME7/3/17	0.30224078997341436	0.0	0.6952525636156476	0.0	0.002354728446638815	0.0001519179642992784	0.0	0.6952525636156476	0.3016077984555007	0.0005570325357640208	0.9999240410178504	0.997493353589062	7/3/23	July	Palermo_ME2017	14
B0045	bim	W	45	7/3/17	FJ	Freedom Falls	Waldo	44.5282	-69.2974							1/8/17	8/7/17	26.0		26.0		2017_1	45.0	2017	7022.398997217226	Freedom Falls	Freedom Falls	1.0	63	1.489051357608979	0.02225017195844486	0.21211871610349423	Freedom Falls7/3/17	0.0006100693552530183	0.0	0.9772106986899564	0.014047649627536605	0.007826547649627537	0.0	0.0	0.9770260724377087	0.00022476239404058566	0.0001926534806062163	0.9993176855895196	0.9778207680452093	7/3/23	July	Freedom Falls2017	13
B0046	bim	W	46	7/3/17	FJ	271 Parmenter Hill Rd; Palermo; ME	Waldo	44.43	-69.4753							1/8/17	8/7/17	48.0		48.0		2017_1	46.0	2017	27.258420157912965	Palermo_ME	Palermo_ME	1.0	63	1.540606174107665	0.021282780262757147	0.20877809882605353	271 Parmenter Hill Rd; Palermo; ME7/3/17	0.00451786185589418	0.0	0.9938985576997718	0.00035708186489885266	0.0011799226840136002	0.0	0.0	0.9938519818043502	0.00017077828321249475	0.004083153498626011	0.9996429181351011	0.998416419555666	7/3/23	July	Palermo_ME2017	11
B0047	vag	W	47	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3114	jasmine					11:00	1/8/17	8/7/17	47.0		47.0		2017_1	47.0	2017	267.12507928809515	Allen_Island	Allen_Island	1.0	72	2.686854860617037	-0.041372940883979005	0.09982668694542149	Allen Island Garden7/12/17	0.3795283439573988	0.0	0.6008499252380578	0.005849794076755594	0.01288003987303586	0.0	0.0	0.6006925316754544	0.3781904986752708	0.0004984129482437502	0.9981112772487604	0.9803782691954566	7/12/23	July	Allen_Island2017	2
B0048	imp	Q	48	8/1/17	JG	Dana walkway; Colby College	Kennebec	44.5616	-69.6619							1/8/17	8/7/17	101.0		101.0		2017_1	48.0	2017	8199.301884236962	Colby_College	Colby_College	1.0	92	2.312569718064412	-0.054418705388108356	0.07323845211752503	Dana walkway; Colby College8/1/17	0.4671836367723084	5.619240278714318e-05	0.5229826927399416	0.002191503708698584	0.006321645313553607	0.0004916835243875029	0.0	0.5228141155315801	0.4360670937289278	0.0	0.9678860418071477	0.9902225219150371	8/1/23	August	Colby_College2017	15
B0049	bor	W	49	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3114	jasmine					11:00	1/8/17	8/7/17	116.0		116.0		2017_1	49.0	2017	1048.4210018275976	Allen_Island	Allen_Island	1.0	72	4.800626435076436	0.03652899669507475	0.19935981476543554	Allen Island Garden7/12/17	0.009064375192617973	0.0005076050107866065	0.9216656695853955	0.0003807037580899549	0.007124598901397727	0.000688892514638966	0.0	0.9215931545838545	0.0006526350138684941	0.0007251500154094379	0.931165134787259	0.9312376497888001	7/12/23	July	Allen_Island2017	2
B0050	bim	W	50	7/12/17	JG	Tidal River; St. George	Knox	43.9432	-69.2303							1/8/17	8/7/17	64.0		64.0		2017_1	50.0	2017	211.6062727121827	Port_Clyde_ME	Port_Clyde_ME	1.0	72	4.911320525384241	-0.09846871990697224	-0.08276352129092873	Tidal River; St. George7/12/17	0.679785153012168	0.0	0.13955107589270913	0.009084579423759159	0.0025861211498292495	0.028099200954875503	0.12947183448824642	0.13951792049335235	0.6035277344915619	0.07425151685952057	0.9865389078611452	0.8193362289048771	7/12/23	July	Port_Clyde_ME2017	16
B0051	bor	W	51	7/9/17	FJ	Monhegan	Monhegan Island	43.764	-69.314	catmint						2/8/17	8/7/17	112.0		112.0		2017_1	51.0	2017	2126.5776298807564	Monhegan_Island	Monhegan_Island	1.0	69	2.20681538279447	-0.05192874238799714	0.06965418482973257	Monhegan7/9/17	0.4678122884861247	0.0014100925020681357	0.5092314055802061	0.0	0.012841242385500488	0.0	0.0	0.5092314055802061	0.46610137625028203	0.0	0.9881740242159885	0.9784537865683989	7/9/23	July	Monhegan_Island2017	17
B0052	vag	Q	52	7/9/17	FJ	Monhegan	Monhegan Island	43.764	-69.314	catmint						2/8/17	8/7/17	81.0		81.0		2017_1	52.0	2017	66.20776660673268	Monhegan_Island	Monhegan_Island	1.0	69	2.151576081977721	-0.02473088448918531	0.12870264887704153	Monhegan7/9/17	0.2807235899884062	0.0	0.7158494168996795	0.0002557457546204733	0.0	0.0011423310373047807	0.0019436677351155971	0.7158494168996795	0.28005865102639294	0.000153447452772284	0.9994032599058855	0.9965730068880857	7/9/23	July	Monhegan_Island2017	17
B0053	bor	W	53	7/9/17	FJ	Monhegan	Monhegan Island	43.764	-69.314	catmint						2/8/17	8/7/17	202.0		202.0		2017_1	53.0	2017	15758.57303451086	Monhegan_Island	Monhegan_Island	1.0	69	4.746093450309832	0.04806363137357703	0.11387594267090566	Monhegan7/9/17	0.9425623743644318	0.0015963107484923732	0.04067636277639825	0.0	0.008277166844034527	8.86839304717985e-05	0.0	0.04067636277639825	0.0010050845453470497	0.0016554333688069056	0.05170273146505853	0.9848350478893225	7/9/23	July	Monhegan_Island2017	17
